iter	RMSE
0	8.401341711
1	8.200992616
2	8.006308055
3	7.837197748
4	7.66346579
5	7.489040509
6	7.32086356
7	7.166414172
8	6.996879739
9	6.851220013
10	6.697002171
11	6.586507847
12	6.42772855
13	6.322203507
14	6.200609354
15	6.069200668
16	5.933219056
17	5.814166539
18	5.697488481
19	5.594089157
20	5.489266378
21	5.397985896
22	5.294180326
23	5.201592284
24	5.105357855
25	5.02870759
26	4.94575307
27	4.855517944
28	4.770302021
29	4.681471152
30	4.61028235
31	4.520568238
32	4.440341459
33	4.353213308
34	4.27779603
35	4.212317576
36	4.144449087
37	4.090694849
38	4.021937881
39	3.950487655
40	3.885960119
41	3.831916326
42	3.772027428
43	3.713938366
44	3.667793301
45	3.616403403
46	3.556442301
47	3.497375011
48	3.446840924
49	3.40051681
50	3.345158662
51	3.291486114
52	3.239518431
53	3.19135114
54	3.147355803
55	3.099405871
56	3.052258921
57	3.004299063
58	2.962017405
59	2.92008954
60	2.884036245
61	2.857391812
62	2.825026422
63	2.785666201
64	2.754744019
65	2.712860108
66	2.676809625
67	2.639874333
68	2.606960872
69	2.568399471
70	2.534056238
71	2.499606155
72	2.461694382
73	2.431567861
74	2.398983428
75	2.366754387
76	2.336511904
77	2.306905301
78	2.278471208
79	2.253100437
80	2.223945906
81	2.190893071
82	2.164639671
83	2.138166551
84	2.112382819
85	2.07850805
86	2.059166662
87	2.02972511
88	2.007439219
89	1.985773455
90	1.963705965
91	1.945754396
92	1.923385236
93	1.901781568
94	1.877044241
95	1.851659405
96	1.831242379
97	1.811890125
98	1.787015916
99	1.764156905
100	1.747357197
101	1.723298188
102	1.70402403
103	1.683330507
104	1.668026835
105	1.65081974
106	1.630038786
107	1.611497948
108	1.594904828
109	1.572296102
110	1.554200759
111	1.540121523
112	1.522407306
113	1.506200353
114	1.49109322
115	1.474194156
116	1.458816818
117	1.441072026
118	1.426262911
119	1.412018674
120	1.39883474
121	1.383573355
122	1.370442605
123	1.358510011
124	1.346139277
125	1.334211066
126	1.323060414
127	1.311318558
128	1.29747419
129	1.284869151
130	1.270771688
131	1.254820393
132	1.239874983
133	1.227444216
134	1.216519776
135	1.200454216
136	1.190063885
137	1.174414986
138	1.157786126
139	1.146773827
140	1.136003185
141	1.127029002
142	1.11451652
143	1.101015467
144	1.088437224
145	1.076579098
146	1.06279301
147	1.050777111
148	1.039409036
149	1.029725326
150	1.015991288
151	1.005433124
152	0.9951716016
153	0.9839872332
154	0.9745998995
155	0.9644746829
156	0.9544910739
157	0.9407030539
158	0.9304757549
159	0.9167148907
160	0.9039590474
161	0.8953672007
162	0.8863877249
163	0.8736231873
164	0.8611170048
165	0.8533598443
166	0.8466143342
167	0.8356819331
168	0.8282982888
169	0.81617183
170	0.8053813323
171	0.7980549616
172	0.7866367752
173	0.7795488254
174	0.7716210425
175	0.760759039
176	0.7548809523
177	0.7451295043
178	0.7357656522
179	0.730186459
180	0.7220305228
181	0.7130868409
182	0.7059556164
183	0.6997503835
184	0.6930269211
185	0.6864597724
186	0.6797250277
187	0.673398534
188	0.6669168794
189	0.6583814001
190	0.6509306287
191	0.6448097444
192	0.6388412184
193	0.6330214058
194	0.6286273176
195	0.6205339171
196	0.6158023939
197	0.6068366166
198	0.6022580994
199	0.5946517351
200	0.5872423935
201	0.5828556677
202	0.5756813454
203	0.5686532384
204	0.5641269117
205	0.5573163187
206	0.5533139406
207	0.5467149015
208	0.540220121
209	0.5339158625
210	0.5301155629
211	0.5247906808
212	0.5201655655
213	0.5138274447
214	0.5078477833
215	0.5043400521
216	0.4982856541
217	0.4923421141
218	0.4865047518
219	0.4815134123
220	0.4781105791
221	0.4725470058
222	0.4671411825
223	0.4618888735
224	0.4567859592
225	0.4537217898
226	0.4488059442
227	0.4433299494
228	0.4380112509
229	0.4332704865
230	0.4286230013
231	0.4257661139
232	0.4215769138
233	0.4168574901
234	0.4136845317
235	0.4102805871
236	0.4039958843
237	0.4009584206
238	0.3981763658
239	0.3921611362
240	0.3892518276
241	0.38659708
242	0.3808408033
243	0.3784894423
244	0.3747378325
245	0.3710806818
246	0.367515614
247	0.3624502836
248	0.3575357437
249	0.3526971493
250	0.3498847671
251	0.3466176791
252	0.3434485184
253	0.3403744248
254	0.3374601799
255	0.3324127154
256	0.327974468
257	0.3254271242
258	0.3208819542
259	0.3167303568
260	0.3124399396
261	0.3085199799
262	0.3039688088
263	0.2995551307
264	0.2975782995
265	0.2956428036
266	0.2937478497
267	0.2914949274
268	0.28963559
269	0.2874404359
270	0.2856159063
271	0.2834769525
272	0.2816864516
273	0.2793836773
274	0.2776299166
275	0.2755680954
276	0.2738489112
277	0.2703097915
278	0.2683470576
279	0.2665491907
280	0.2648151769
281	0.2630435252
282	0.261347768
283	0.2596017958
284	0.2577276141
285	0.2561973867
286	0.2546977609
287	0.2530719662
288	0.2513868109
289	0.2486978416
290	0.2471064979
291	0.2454759857
292	0.2429140418
293	0.240593336
294	0.2376126867
295	0.2354172649
296	0.2338951003
297	0.2319859668
298	0.2291222726
299	0.2267608936
