iter	Passed	Remaining
0	0	207
1	1	236
2	2	228
3	3	222
4	3	205
5	3	195
6	4	189
7	5	197
8	6	199
9	6	197
10	7	192
11	7	188
12	8	184
13	9	197
14	10	194
15	10	191
16	11	187
17	11	183
18	12	181
19	13	184
20	13	185
21	14	183
22	15	180
23	15	179
24	16	178
25	16	178
26	17	181
27	18	181
28	19	180
29	19	179
30	20	180
31	21	180
32	22	179
33	22	178
34	23	177
35	24	176
36	25	178
37	25	177
38	26	176
39	27	175
40	27	176
41	28	176
42	29	176
43	29	172
44	30	171
45	30	170
46	31	168
47	32	168
48	33	170
49	33	168
50	34	167
51	34	166
52	35	165
53	36	166
54	37	165
55	37	164
56	38	163
57	38	162
58	39	160
59	40	161
60	41	160
61	41	159
62	42	158
63	42	157
64	42	155
65	43	155
66	44	155
67	45	154
68	45	153
69	46	152
70	46	151
71	47	151
72	48	151
73	49	150
74	49	149
75	50	147
76	50	146
77	51	146
78	52	146
79	52	145
80	53	144
81	53	143
82	54	142
83	55	143
84	56	142
85	57	142
86	57	141
87	58	140
88	59	141
89	60	140
90	61	140
91	61	139
92	62	138
93	63	138
94	63	137
95	64	137
96	65	136
97	65	135
98	66	134
99	67	134
100	68	134
101	69	134
102	69	133
103	71	134
104	72	133
105	72	133
106	73	132
107	73	131
108	75	131
109	75	131
110	76	130
111	77	129
112	77	128
113	77	127
114	79	127
115	79	126
116	80	125
117	80	124
118	81	123
119	81	122
120	82	122
121	83	121
122	84	120
123	84	119
124	84	118
125	85	117
126	86	117
127	86	116
128	87	115
129	87	114
130	88	113
131	88	113
132	89	112
133	90	112
134	91	111
135	91	110
136	92	109
137	92	108
138	93	107
139	93	107
140	94	106
141	95	105
142	95	105
143	96	104
144	96	103
145	97	102
146	98	102
147	99	102
148	99	101
149	100	100
150	100	99
151	101	98
152	102	98
153	103	97
154	103	96
155	104	96
156	104	95
157	105	94
158	106	94
159	106	93
160	107	92
161	107	91
162	108	90
163	108	90
164	109	89
165	110	88
166	110	88
167	111	87
168	111	86
169	112	85
170	112	84
171	113	84
172	114	83
173	114	83
174	115	82
175	115	81
176	116	80
177	116	79
178	125	85
179	126	84
180	127	83
181	128	83
182	128	82
183	129	81
184	130	80
185	130	80
186	131	79
187	131	78
188	132	77
189	132	76
190	133	76
191	134	75
192	134	74
193	135	73
194	135	72
195	136	72
196	136	71
197	137	70
198	138	70
199	138	69
200	138	68
201	139	67
202	139	66
203	140	65
204	141	65
205	142	64
206	142	64
207	143	63
208	143	62
209	143	61
210	144	60
211	145	60
212	145	59
213	146	58
214	146	57
215	146	57
216	147	56
217	147	55
218	148	54
219	149	54
220	149	53
221	150	52
222	150	51
223	150	51
224	151	50
225	151	49
226	152	49
227	153	48
228	153	47
229	154	46
230	154	46
231	155	45
232	155	44
233	156	44
234	157	43
235	157	42
236	158	42
237	159	41
238	159	40
239	160	40
240	161	39
241	162	38
242	162	38
243	163	37
244	164	36
245	165	36
246	165	35
247	166	34
248	166	34
249	167	33
250	168	32
251	169	32
252	169	31
253	170	30
254	171	30
255	172	29
256	172	28
257	173	28
258	173	27
259	174	26
260	174	26
261	175	25
262	176	24
263	176	24
264	177	23
265	177	22
266	178	22
267	178	21
268	179	20
269	180	20
270	180	19
271	181	18
272	181	17
273	182	17
274	183	16
275	183	15
276	184	15
277	185	14
278	185	13
279	186	13
280	186	12
281	187	11
282	188	11
283	188	10
284	188	9
285	189	9
286	189	8
287	190	7
288	191	7
289	191	6
290	192	5
291	193	5
292	193	4
293	194	3
294	195	3
295	196	2
296	196	1
297	197	1
298	197	0
299	198	0
