year,iso_3166_2,oblast,oblast_uk,zone,crop,centroid_lat,centroid_lon,yield_tha,conflict_zone,is_real_yield,weather_used,weather_factor
2017,UA-74,Chernihiv,Чернігівська,polissia,wheat,51.5,31.3,4.82,False,True,False,1.0
2017,UA-07,Volyn,Волинська,polissia,wheat,51.2,24.7,4.62,False,True,False,1.0
2017,UA-56,Rivne,Рівненська,polissia,wheat,50.78,26.43,4.7,False,True,False,1.0
2017,UA-18,Zhytomyr,Житомирська,polissia,wheat,50.26,28.66,4.32,False,True,False,1.0
2017,UA-32,Kyiv,Київська,forest_steppe,wheat,50.1,30.5,3.63,False,True,False,1.0
2017,UA-21,Zakarpattia,Закарпатська,transcarpathia,wheat,48.62,22.3,3.4,False,True,False,1.0
2017,UA-77,Chernivtsi,Чернівецька,forest_steppe,wheat,48.29,25.94,5.28,False,True,False,1.0
2017,UA-26,Ivano-Frankivsk,Івано-Франківська,forest_steppe,wheat,48.92,24.71,5.32,False,True,False,1.0
2017,UA-51,Odesa,Одеська,steppe_south,wheat,46.48,30.73,3.98,False,True,False,1.0
2017,UA-05,Vinnytsia,Вінницька,forest_steppe,wheat,49.23,28.47,5.24,False,True,False,1.0
2017,UA-46,Lviv,Львівська,forest_steppe,wheat,49.84,24.03,4.99,False,True,False,1.0
2017,UA-59,Sumy,Сумська,forest_steppe,wheat,50.92,34.12,5.29,False,True,False,1.0
2017,UA-63,Kharkiv,Харківська,forest_steppe,wheat,49.99,36.23,4.74,False,True,False,1.0
2017,UA-09,Luhansk,Луганська,steppe_south,wheat,48.57,39.31,3.96,True,True,False,1.0
2017,UA-14,Donetsk,Донецька,steppe_south,wheat,48.02,37.8,4.09,True,True,False,1.0
2017,UA-65,Kherson,Херсонська,steppe_south,wheat,46.65,32.62,3.61,False,True,False,1.0
2017,UA-23,Zaporizhzhia,Запорізька,steppe_south,wheat,47.84,35.14,3.39,False,True,False,1.0
2017,UA-48,Mykolaiv,Миколаївська,steppe_south,wheat,46.97,31.99,3.54,False,True,False,1.0
2017,UA-53,Poltava,Полтавська,forest_steppe,wheat,49.59,34.55,4.09,False,True,False,1.0
2017,UA-68,Khmelnytskyi,Хмельницька,forest_steppe,wheat,49.42,26.99,6.2,False,True,False,1.0
2017,UA-61,Ternopil,Тернопільська,forest_steppe,wheat,49.55,25.62,5.67,False,True,False,1.0
2017,UA-12,Dnipropetrovsk,Дніпропетровська,steppe_north,wheat,48.46,35.03,3.69,False,True,False,1.0
2017,UA-71,Cherkasy,Черкаська,forest_steppe,wheat,49.43,32.06,3.83,False,True,False,1.0
2017,UA-35,Kirovohrad,Кіровоградська,steppe_north,wheat,48.51,32.27,3.48,False,True,False,1.0
2018,UA-74,Chernihiv,Чернігівська,polissia,wheat,51.5,31.3,4.27,False,True,False,1.0
2018,UA-07,Volyn,Волинська,polissia,wheat,51.2,24.7,4.4,False,True,False,1.0
2018,UA-56,Rivne,Рівненська,polissia,wheat,50.78,26.43,4.67,False,True,False,1.0
2018,UA-18,Zhytomyr,Житомирська,polissia,wheat,50.26,28.66,4.3,False,True,False,1.0
2018,UA-32,Kyiv,Київська,forest_steppe,wheat,50.1,30.5,4.79,False,True,False,1.0
2018,UA-21,Zakarpattia,Закарпатська,transcarpathia,wheat,48.62,22.3,3.18,False,True,False,1.0
2018,UA-77,Chernivtsi,Чернівецька,forest_steppe,wheat,48.29,25.94,4.58,False,True,False,1.0
2018,UA-26,Ivano-Frankivsk,Івано-Франківська,forest_steppe,wheat,48.92,24.71,4.69,False,True,False,1.0
2018,UA-51,Odesa,Одеська,steppe_south,wheat,46.48,30.73,3.8,False,True,False,1.0
2018,UA-05,Vinnytsia,Вінницька,forest_steppe,wheat,49.23,28.47,5.34,False,True,False,1.0
2018,UA-46,Lviv,Львівська,forest_steppe,wheat,49.84,24.03,4.81,False,True,False,1.0
2018,UA-59,Sumy,Сумська,forest_steppe,wheat,50.92,34.12,5.18,False,True,False,1.0
2018,UA-63,Kharkiv,Харківська,forest_steppe,wheat,49.99,36.23,3.43,False,True,False,1.0
2018,UA-09,Luhansk,Луганська,steppe_south,wheat,48.57,39.31,2.99,True,True,False,1.0
2018,UA-14,Donetsk,Донецька,steppe_south,wheat,48.02,37.8,2.75,True,True,False,1.0
2018,UA-65,Kherson,Херсонська,steppe_south,wheat,46.65,32.62,3.25,False,True,False,1.0
2018,UA-23,Zaporizhzhia,Запорізька,steppe_south,wheat,47.84,35.14,2.61,False,True,False,1.0
2018,UA-48,Mykolaiv,Миколаївська,steppe_south,wheat,46.97,31.99,3.18,False,True,False,1.0
2018,UA-53,Poltava,Полтавська,forest_steppe,wheat,49.59,34.55,4.39,False,True,False,1.0
2018,UA-68,Khmelnytskyi,Хмельницька,forest_steppe,wheat,49.42,26.99,5.65,False,True,False,1.0
2018,UA-61,Ternopil,Тернопільська,forest_steppe,wheat,49.55,25.62,5.33,False,True,False,1.0
2018,UA-12,Dnipropetrovsk,Дніпропетровська,steppe_north,wheat,48.46,35.03,3.03,False,True,False,1.0
2018,UA-71,Cherkasy,Черкаська,forest_steppe,wheat,49.43,32.06,4.93,False,True,False,1.0
2018,UA-35,Kirovohrad,Кіровоградська,steppe_north,wheat,48.51,32.27,3.7,False,True,False,1.0
2019,UA-74,Chernihiv,Чернігівська,polissia,wheat,51.5,31.3,4.79,False,True,False,1.0
2019,UA-07,Volyn,Волинська,polissia,wheat,51.2,24.7,4.48,False,True,False,1.0
2019,UA-56,Rivne,Рівненська,polissia,wheat,50.78,26.43,4.56,False,True,False,1.0
2019,UA-18,Zhytomyr,Житомирська,polissia,wheat,50.26,28.66,4.94,False,True,False,1.0
2019,UA-32,Kyiv,Київська,forest_steppe,wheat,50.1,30.5,5.34,False,True,False,1.0
2019,UA-21,Zakarpattia,Закарпатська,transcarpathia,wheat,48.62,22.3,3.57,False,True,False,1.0
2019,UA-77,Chernivtsi,Чернівецька,forest_steppe,wheat,48.29,25.94,4.29,False,True,False,1.0
2019,UA-26,Ivano-Frankivsk,Івано-Франківська,forest_steppe,wheat,48.92,24.71,4.66,False,True,False,1.0
2019,UA-51,Odesa,Одеська,steppe_south,wheat,46.48,30.73,3.14,False,True,False,1.0
2019,UA-05,Vinnytsia,Вінницька,forest_steppe,wheat,49.23,28.47,5.66,False,True,False,1.0
